"BR_1"	"BR_2"	"BR_3"	"BRC1_1"	"BRC1_2"	"BRC1_3"	"BRC17_1"	"BRC17_2"	"BRC17_3"	"BRC30_1"	"BRC30_2"	"BRC30_3"	"BRC5_1"	"BRC5_2"	"BRC5_3"	"PC1_1"	"PC1_2"	"PC1_3"	"PC17_1"	"PC17_2"	"PC17_3"	"PC30_1"	"PC30_2"	"PC30_3"	"PC5_1"	"PC5_2"	"PC5_3"	"PM_1"	"PM_2"	"PM_3"
"BRC30_3"	0.10295961770267	0.171273967161689	0.178768758437845	0.175381299914608	0.19898086933795	0.172838523458056	0.0955908740759306	0.128688924873777	0.100662077512313	0.0186124890473796	0.0051402784647993	0	0.18233210951191	0.202420248884243	0.181955204148644	0.31674869500094	0.324920515230518	0.323735871273203	0.371571388759988	0.375849276409706	0.376785802207243	0.375547717244614	0.35609890033927	0.360252094438621	0.323752886524238	0.326808176300511	0.313158098607965	0.122533050011789	0.102321555885946	0.111619292802214
"BRC5_1"	0.285505993706922	0.313119634127459	0.323745438831841	0.0377460671529822	0.0263450759432063	0.0486979985310369	0.122252707158377	0.120292278662214	0.162648411842026	0.166106002919913	0.182013019101442	0.18233210951191	0	0.0220658766560337	0.00937042108541553	0.438762109938671	0.447813333716134	0.442152519598943	0.325433324168941	0.304990454965999	0.308851769350222	0.281094396726166	0.260285767739247	0.264721881404913	0.430433255167811	0.432917449258134	0.422396719027702	0.184013355654419	0.198367138518929	0.214432582818135
"BRC5_2"	0.304302178661134	0.332651613957403	0.343098441460017	0.0588466121541379	0.0474661494508973	0.0697736611616011	0.141926026951375	0.139366782218836	0.181365684806012	0.186618322353899	0.202198777129717	0.202420248884243	0.0220658766560337	0	0.0305118932784477	0.450371188656141	0.459395294730747	0.453417337454736	0.33647838933562	0.316279078713809	0.320065909059979	0.26150135974327	0.240461847003087	0.244945620174599	0.440798785633403	0.443208673319899	0.43306643007572	0.201882524404957	0.216296032712343	0.231859221165408
"BRC5_3"	0.286244330804097	0.314248148099886	0.325008059731232	0.0283856859865862	0.0169788463314389	0.0393455316282117	0.12133994652532	0.119392146821073	0.162120753685884	0.165559571478387	0.18163103943033	0.181955204148644	0.00937042108541553	0.0305118932784477	0	0.440629039713504	0.44978268400247	0.44400110432757	0.326154873144912	0.305570110195918	0.309456503976518	0.289701751260665	0.269000101009059	0.273414083681469	0.43201001949325	0.434507596836856	0.423938563035807	0.183694164734935	0.198176188548961	0.214393054177695
"PC1_1"	0.266589267861426	0.356774715272851	0.363503541647603	0.441847545255029	0.458440616562223	0.442320248209317	0.332114305319455	0.320203524284823	0.293444378686631	0.332325141031958	0.319091304863235	0.31674869500094	0.438762109938671	0.450371188656141	0.440629039713504	0	0.0119429174799158	0.0225762838241235	0.187783347753815	0.192575829390944	0.193626179220524	0.192237708508928	0.175064617377935	0.178014265003458	0.112052864935508	0.114663818657914	0.0986952767522534	0.264933962844646	0.260401627225738	0.241938036307988
"PC1_2"	0.26124853034535	0.346307389679409	0.353093506465581	0.451253155072347	0.467973844618675	0.451823068374346	0.339841646487847	0.327542612926965	0.300627683295331	0.340737714328145	0.327331006767966	0.324920515230518	0.447813333716134	0.459395294730747	0.44978268400247	0.0119429174799158	0	0.0345098965147071	0.19927934522725	0.204049450023135	0.205094822822836	0.203712925742422	0.182094482213234	0.186696906008227	0.123830068297711	0.126433595377376	0.110507937471373	0.271604744377245	0.267140439154229	0.248378690668662
"PC1_3"	0.287435593268068	0.376319875254927	0.382937228464286	0.445271991835785	0.461413494236816	0.445764305260233	0.338186738134243	0.32638484745585	0.300446834424638	0.338906141598053	0.326043185672415	0.323735871273203	0.442152519598943	0.453417337454736	0.44400110432757	0.0225762838241235	0.0345098965147071	0	0.165910432940558	0.170741870878148	0.171800898901298	0.170400967109027	0.18260803450203	0.18546128687585	0.0897035074184356	0.0923265389677596	0.0762889779369297	0.272491736787048	0.268210474958041	0.2501347250149
"PC17_1"	0.432710675583053	0.51036544108919	0.516060635828115	0.324817589927801	0.338920866672424	0.32431026488726	0.286144016456949	0.255079638201881	0.281435899844253	0.373770724370497	0.375993526954852	0.371571388759988	0.325433324168941	0.33647838933562	0.326154873144912	0.187783347753815	0.19927934522725	0.165910432940558	0	0.0144144964626876	0.0110350738870234	0.114503143078132	0.127156984623855	0.129858411459581	0.07735822852379	0.0747285816071164	0.0907703477633121	0.260917870847991	0.279891231037689	0.271199989591357
"PC17_2"	0.436743286789315	0.51403327827681	0.519699377297703	0.315809152802017	0.318006720784585	0.32565283639139	0.290702699396976	0.259722516532561	0.286007957907571	0.378040429578148	0.3802549138109	0.375849276409706	0.304990454965999	0.316279078713809	0.305570110195918	0.192575829390944	0.204049450023135	0.170741870878148	0.0144144964626876	0	0.00334699380373527	0.0995882038362504	0.111843271333633	0.114602395912795	0.0822988647797573	0.0796712702929197	0.0956994474173352	0.265545654883661	0.28446762947461	0.27580036908479
"PC17_3"	0.437625789645081	0.514835576655313	0.520495283914013	0.316791031884265	0.321921959422864	0.32662781822287	0.291701213636282	0.260739663817205	0.287009430315367	0.378975151618432	0.38118780225663	0.376785802207243	0.308851769350222	0.320065909059979	0.309456503976518	0.193626179220524	0.205094822822836	0.171800898901298	0.0110350738870234	0.00334699380373527	0	0.102827679533382	0.115141694935609	0.117882413705844	0.0833824097404917	0.0807552826535989	0.0967803743916663	0.266559459525139	0.285470061978767	0.276808107510242
"PC30_1"	0.43645909793952	0.513774888563274	0.519443044033246	0.315493017350353	0.305179480301561	0.325338917191123	0.290381219563963	0.259395052265908	0.285685527850561	0.377739450267947	0.379954523956756	0.375547717244614	0.281094396726166	0.26150135974327	0.289701751260665	0.192237708508928	0.203712925742422	0.170400967109027	0.114503143078132	0.0995882038362504	0.102827679533382	0	0.0224512735142079	0.0176887691367855	0.178340253065673	0.180848396006466	0.169112697941804	0.26521926401983	0.284144891025585	0.275475926420886
"PC30_2"	0.418104860116944	0.49705711948898	0.50285615841769	0.295132230360064	0.284678730933581	0.305116296407098	0.269688158631983	0.238331763182756	0.264933539095932	0.35832705235098	0.360579157583363	0.35609890033927	0.260285767739247	0.240461847003087	0.269000101009059	0.175064617377935	0.182094482213234	0.18260803450203	0.127156984623855	0.111843271333633	0.115141694935609	0.0224512735142079	0	0.0047643964878989	0.193545340622693	0.196076544504413	0.184283351399636	0.244222214180243	0.263373788117958	0.254599294901162
"PC30_3"	0.422028568384084	0.500635921405121	0.506407301196659	0.299475526236125	0.289051080981256	0.309430874776085	0.274100363202537	0.242820435362803	0.269357938950116	0.362472631159016	0.36471699140735	0.360252094438621	0.264721881404913	0.244945620174599	0.273414083681469	0.178014265003458	0.186696906008227	0.18546128687585	0.129858411459581	0.114602395912795	0.117882413705844	0.0176887691367855	0.0047643964878989	0	0.196123630863467	0.198635709835291	0.186941532212513	0.248697233664991	0.267802141885115	0.259049461287436
"PC5_1"	0.367659378308404	0.45080544729302	0.456944326977234	0.432884873991925	0.447501164862404	0.433223468896205	0.336759011772471	0.326142678526094	0.302779704633506	0.337293199971169	0.32581190464102	0.323752886524238	0.430433255167811	0.440798785633403	0.43201001949325	0.112052864935508	0.123830068297711	0.0897035074184356	0.07735822852379	0.0822988647797573	0.0833824097404917	0.178340253065673	0.193545340622693	0.196123630863467	0	0.00320313993654493	0.0135069628813379	0.277515892684895	0.273743269826154	0.257408769788222
"PC5_2"	0.369944567893429	0.45291035568562	0.459034479938332	0.435434876219054	0.449981572158326	0.435793497640927	0.339563593859685	0.328906198898239	0.305681578412451	0.340307199207085	0.328870972022715	0.326808176300511	0.432917449258134	0.443208673319899	0.434507596836856	0.114663818657914	0.126433595377376	0.0923265389677596	0.0747285816071164	0.0796712702929197	0.0807552826535989	0.180848396006466	0.196076544504413	0.198635709835291	0.00320313993654493	0	0.0161513228294788	0.280446137418899	0.276733951407112	0.26042890448159
"PC5_3"	0.355919899974397	0.439977512962882	0.44619122513228	0.4246458283524	0.43957836867917	0.424920451531929	0.327117003245521	0.316590906992	0.292620933011206	0.32691893160315	0.31521505741102	0.313158098607965	0.422396719027702	0.43306643007572	0.423938563035807	0.0986952767522534	0.110507937471373	0.0762889779369297	0.0907703477633121	0.0956994474173352	0.0967803743916663	0.169112697941804	0.184283351399636	0.186941532212513	0.0135069628813379	0.0161513228294788	0	0.267132656475611	0.263123491955356	0.246604615905828
