"","BR","BRC1","BRC17","BRC30","BRC5","PC1","PC17","PC30","PC5","PM"
"Clostridiaceae",0.0576194040298881,0.0377085714867174,0.00230003523793431,0.000938934733878595,0.0131108009746618,0.0572022845262232,0.00149173459691387,8.23462230014017e-05,0.00523138932846769,0.0640726619247653
"Alcaligenaceae",0.112060303709839,0.0245084875859562,0,0,3.98257001260469e-05,0.0105543880391247,0,0,0.000256826307933883,0.0722710798726114
"Micromonosporaceae",1.65761646937147e-05,0.000511358961479883,0.0179139022713925,0.00951338714540317,0.0286997563908168,0.00114706554646999,0.0193488102820114,0.00875200000229676,0.129038303883586,0
"Thermomonosporaceae",0.000252206624052301,0.000181083148820732,0.0431194517617773,0.0117361080426781,0.0851781027042487,0.000198916321287137,0.0275828754521079,0.0105192085413737,0.0294130501324849,4.16664398590024e-05
"Bacillaceae",0.00590176339921949,0.0904947581225188,0.00019099100599331,9.51457737551764e-05,0.0048827989385515,0.0275361001814445,0,2.56362729594443e-05,0.000710182024951877,0.049482820539227
"Mycobacteriaceae",0.000303542108962673,0.0400137193193218,0.0161402815140561,0.00685929119726574,0.0230575969133699,0.0400846449043845,0.0134243837876904,0.006856688397042,0.0119881478759512,0.00172922255386001
"Lactobacillaceae",0.0108225606913781,0.0060271219084307,0.000119495095666678,0,0.00238441687226954,0.0531294642247126,0.000121057583303628,0,0.00115032184038423,0.0675018841056334
"Actinomycetaceae",0.0561060787784609,0.00939368865932935,0.000142538309826379,4.1133098144523e-05,0.0020217829936813,0.0303816091685645,0.000358368408028196,0,0.00265151303385583,0.0395074407245004
"Streptococcaceae",0.0195284253651846,0.00996696569370079,0.000505944976146547,0,0.00302984402949181,0.0470656817872168,5.0777136193676e-05,0.000187351196464455,0.00280623695478816,0.0404204821853977
"Rhodobacteraceae",0,0.000492223413474927,0.00611807851096458,0.0202641414797384,0.00139907152104703,0,0.0081445673554558,0.022093854197383,6.3798601496341e-05,0
"Bradyrhizobiaceae",0,0.0172879085868613,0.000659371837718719,7.75019742219797e-05,0.00463372004223219,0.0187284081135678,0.00173370679182836,4.5089129950135e-05,0.00490541795766649,0.00621903742353626
"Nocardiaceae",0.000842634599193624,0.00563543334313868,0.000492464116456544,0,0.00203023168126375,0.0134730160869628,0.00103634757019978,0,0.00315484209609274,0.026997058200985
"Aerococcaceae",0.0122716904594937,0.0048101598836441,0,0,0.000914760467668579,0.012347091866997,0.000296215162143087,0,6.17660279696683e-05,0.0206125278008297
"Rikenellaceae",0.0383435123873958,0.00836714940904021,0,0,0.000430913204710331,0.000695901997428177,0,0,0,0.000439589821273227
"Chromobacteriaceae",0.00219254625616218,0.0151011628217357,7.03027619682044e-05,0,6.78875320487133e-05,0.00253488431637539,0.000315205746988763,0,9.98277410630794e-05,0.0264489742151918
"Microbacteriaceae",0.00485450213417408,0.0142031483853016,0.000755395959802231,0.000616821486880559,0.00656263612018612,0.0115981773565727,0.00160554992447027,0.000452165827027797,0.00252945428069866,0.00362257201437626
"Xanthobacteraceae",0,0.0174592988886304,0,3.73940257322204e-05,0.00450257451066854,0.0181082253902078,0.000544059056577621,5.09267270166615e-05,0.00222507117800159,0.000304056352250924
"Demequinaceae",0,0.0187598423926225,0.000710285223545716,0,0.00744686176513551,0.0132370493787148,0,0,0.00111537993983945,0
"Hyphomicrobiaceae",0.00465526920274404,0.0125727162294455,0.000744224142618826,0.000490363251528669,0.00448888181010389,0.0100013916447981,0.0011621749849775,0.000205897094447418,0.00353676767014926,0.00172530979515209
"Sphingobacteriaceae",0.00793305952661712,0.0164742926897524,0.000587691375667582,0.000167654064071101,0.000274297709709477,0.00189592699131569,0.00334216545073761,0.000430544533272826,0.000882975816692686,0.00657059278586968
"Cellulomonadaceae",0.00660690391735462,0.019429076224475,0.00058030787605386,0.00111176737197062,0.00341969085284371,0.00203070825433748,0.00134614011309702,0.00112146677534457,0.000270344800034279,0.00110810475883296
"Xanthomonadaceae",0.00648010229723587,0.0140101889533861,0.00247843523828911,0.000693980093746354,0.00129558932999808,0.00252035496096164,0.000566653514092609,0.00116220598199625,0.00331671967416002,0.00186405078599904
"Prolixibacteraceae",0.00238083834884695,0.000232350528797224,0.000723983539531258,0.0250633540010437,0.000136963840986752,0.000859911781128898,0.000449801270579573,0.00336559003005584,0.000315683293299669,0.000615663963129756
"Porphyromonadaceae",0.0144573595006798,0.00280479895107582,0.000264994816886277,0,0.000228864666199838,0.00253725634773767,0,0,0.000228470446455005,0.0128774426493269
"Rhodospirillaceae",0.00107512708321676,0.00925100105105985,0.00474128544968596,0.0019686422601348,0.00318726153030954,0.00913275588255155,0,0.000255449245701768,0.000167038311467131,0.000951842549419423
"Intrasporangiaceae",0.000489877038830085,0.0114216092503122,0.000623844915434752,0,0.00582127466799529,0.008142859966704,0.000601099831931845,0,0.00163142615102046,0.00109605043210595
"Hungateiclostridiaceae",0.0218628550675588,0.00336364041865431,0,0,0,0.00108285619639465,0,0,0,0.00275496348069235
"Erysipelotrichaceae",0.0107487449791835,0.00383283656392305,0,0,0.00067984475966871,0.00468916107698184,0,0,0,0.00573334861799325
"Rhizobiaceae",0,0.0114697026659773,0.000241011676501771,0,0.00220216732913408,0.00751524275578571,0.000298192115549919,0.000404155723582749,0.00279031860688112,0.000102894061269162
"Marinilabiliaceae",0.00692657158209606,0.000875111612769265,0,0,0,0.00493625563705691,0,0,0.000176443659398048,0.0120575525327559
"Cytophagaceae",0.00169159265301003,0.014613816628668,0.000101317466119701,0.000136524841784659,0.000323695575295064,0.00263332096463139,0.000158661603529587,0.000452796565906073,8.92078574108853e-05,0.00334670685353696
"Micrococcaceae",0.00961813328017379,0.00188264730168818,0,0,0.000473412815670536,0.0054189507528878,0,0,0.000294894281520703,0.00462378898158998
"Alteromonadaceae",0.000695448354696351,0.00590739117549553,0.00131770503549953,0.000911587504923979,0.00181516687298197,0.00316017725495211,0.00288089439935755,0.00120623808058486,0.000706713711603489,0.00316612964358132
"Peptococcaceae",0.01085145259491,0.00222068769951626,0.000300762085602157,0,0.000233631494092668,0.0013005471193815,0.000147527066698341,0,0,0.00655157750990594
"Methanomicrobiaceae",0.00629615885203155,0.00756745495935663,0.00124767838580132,0.000749016268207174,0.00261981311402608,0.0017708514226152,0,0,0,0.000113545750195003
"Bogoriellaceae",0.000673895133101642,0.00707182880473677,6.79407860212455e-05,0,0.00123355024537812,0.00338384866864433,0.00292247697668903,0.000720047153516549,0.00089056979519737,0.00303654889625152
"Dermabacteraceae",0.000560047162032004,0.00365873990763412,0,0.00021043631600807,0.00218325405625827,0.00808546423691764,0.00072831012808267,0,0.00268532804558704,0.00152153551571377
"Porticoccaceae",0.00351933027484523,0.00470750193616537,6.6946495722556e-05,0,0,0.000683330761863838,0,0.000102386319637384,0,0.0103309994310985
"Staphylococcaceae",0.0042607841710513,0.00394548527114319,0,0,0.000671794563494236,0.00192672625312042,0,0,0,0.00112109417742742
"Chlamydiaceae",0,0.00403663775512003,0.00156256511617896,0.000718169333506826,0.000574932687685276,0.00114477311347557,0.00141856267056924,0.000243665303486253,0.000688451852330478,0.00123028313087689
"Methanobacteriaceae",0.0043614423305682,0.00146974282762472,0.000173432840761919,0,0.000407218034938876,0.00154700489251368,0.000291307289034606,0,0.000200398394010651,0.00201394235556704
"Frankiaceae",0,0.00417177824191402,0,0,0.00150680484522555,0.00353633260867864,0.000116285286800353,0,0.000955326252185233,0
"Gemmatimonadaceae",0.000625047498013883,0.00290020643275329,0.00145812171581086,0.00129108932293362,0.00308107026741985,0,0.000134351485701438,0.000273584075933027,0,0
"Caldilineaceae",0,0,0.00348970429563309,0.00297720463030748,0.000508344438546586,0,0.000871022992781581,0.00167017262509663,0,9.84928607198634e-05
"Synergistaceae",0.00109149151601068,0.0003215307553465,0.00116781326936341,8.53944710004427e-05,0.00132891024390577,0,0,0,0.0039937336050329,0.000212950194886205
"Ruaniaceae",0.00085267693462053,0.00189928264572665,6.59836793613789e-05,0,0.00135705579251079,0.00108170997989743,0.000123771580436947,0,0.000208777021022551,0.00235600313986088
"Burkholderiaceae",0.00141005573181279,0.00174023120878156,5.71824219260725e-05,0,0.00116919890599173,0.00263850547165814,0,0,9.36068974460248e-05,0.000617690866172045
"Moraxellaceae",0.00602890569053599,0.000143998675507835,0,0,0,0,0,0,0,0.000637447946857444
"Cellvibrionaceae",0.00307508417493291,0.000407026669263409,0.000214629363698702,0,0,0.00129383963024966,0,0,9.7953766702759e-05,0.00151467904601531
"Dietziaceae",0.000811504580900409,0,5.76187651506773e-05,0,0.0002696932921804,0.00246596804948047,0,0,0.000152198855257511,0.00199919768072978
"Lachnospiraceae",0.0044352105388109,0.000770074134818653,0,0.000326545657341097,0,0,0,0,0,0
"Nostocaceae",0.000140155659619402,0.0024518666898033,0.000147222203981645,0,0.000324505952780181,0.00132681988733382,0,0.000507879644634408,0,0.000408572458351609
"Acidobacteriaceae",0,0.0035976967175785,0,0,0.000139493759127274,0.000747943410336352,0,0,0,0.00017755252732294
"Ruminococcaceae",0.0011059978656583,0,0,0,0,0.00235662642482737,0,0,0,0.000738137489869272
"Chitinophagaceae",0.00105501798175913,0.00151999956708384,0.000116653857489416,0,8.67053679066399e-05,0.000516842815643679,0,0,9.51699339670493e-05,0.000393294937869205
"Peptoniphilaceae",0.00271446946092883,0.000205499419230524,0,0,0,0,0,0,0,0
"Erythrobacteraceae",0.000657229389527244,0.0012013700036703,0,0,0.000174264645973218,0.000256333277304927,0,0.000104443833357553,0,0.000373462109518566
"Rhodobiaceae",0.00178371910276973,0.000112779436839301,0,0,0,0,0,0.000173179146358089,4.79866819772459e-05,0
"Peptostreptococcaceae",0.00188027699261173,0,0,0,0,0,0,0,0,0
"Thermoanaerobacteraceae",0.00185730136697223,0,0,0,0,0,0,0,0,0
"Alicyclobacillaceae",0,0.000390946926106384,0,0.000166650374876098,0,0,0,0.00109507579069284,0,0.000197555134923256
"Kofleriaceae",0,0,0.000818838834026239,0.000915767342163692,0,0,0,0,0,0
"Chthoniobacteraceae",0.000737299336300437,0.000393452158135148,5.31551885579991e-05,0,0,0,0,0,0.00048960606068517,0
"Acholeplasmataceae",0.00117636614820234,0,0,0,0,0.000470511258990138,0,0,0,0
"Planococcaceae",0.001193884248399,0.000282971802771316,0,0,6.13040521489565e-05,0,0,0,0,0
"Methylococcaceae",0.00108922761338977,0,0,0,0,0,0,0,0,0
"Gordoniaceae",0,0.000541807649604698,7.00166352635455e-05,0,0,0,0.000253890611026751,0,0.000215496617281161,0
"Thiobacillaceae",0.000979616994827608,0,0,0,0,0,0,0,0,0
"Verrucomicrobiaceae",0.000797687717182894,0,0,0,0,0,0,0,0,0
"Oscillospiraceae",0.000169312228026048,0,0,0,0,0,0,0,0,0.000223377252804782
"Streptosporangiaceae",0,0,0,0.000138003962703609,0,0,0,0,0,0
